,mpg,cylinders,displacement,horsepower,weight,accel,myear,origin,car
25,10.0,8,360.0,215.0,4615.,14.0,70,1,"""fordf250"""
26,10.0,8,307.0,200.0,4376.,15.0,70,1,"""chevyc20"""
27,11.0,8,318.0,210.0,4382.,13.5,70,1,"""dodged200"""
28,9.0,8,304.0,193.0,4732.,18.5,70,1,"""hi1200d"""
29,27.0,4,97.00,88.00,2130.,14.5,71,3,"""datsunpl510"""
30,28.0,4,140.0,90.00,2264.,15.5,71,1,"""chevroletvega2300"""
31,25.0,4,113.0,95.00,2228.,14.0,71,3,"""toyotacorona"""
32,25.0,4,98.00,?,2046.,19.0,71,1,"""fordpinto"""
33,19.0,6,232.0,100.0,2634.,13.0,71,1,"""amcgremlin"""
34,16.0,6,225.0,105.0,3439.,15.5,71,1,"""plymouthsatellitecustom"""
35,17.0,6,250.0,100.0,3329.,15.5,71,1,"""chevroletchevellemalibu"""
36,19.0,6,250.0,88.00,3302.,15.5,71,1,"""fordtorino500"""
37,18.0,6,232.0,100.0,3288.,15.5,71,1,"""amcmatador"""
38,14.0,8,350.0,165.0,4209.,12.0,71,1,"""chevroletimpala"""
39,14.0,8,400.0,175.0,4464.,11.5,71,1,"""pontiaccatalinabrougham"""
40,14.0,8,351.0,153.0,4154.,13.5,71,1,"""fordgalaxie500"""
41,14.0,8,318.0,150.0,4096.,13.0,71,1,"""plymouthfuryiii"""
42,12.0,8,383.0,180.0,4955.,11.5,71,1,"""dodgemonaco(sw)"""
43,13.0,8,400.0,170.0,4746.,12.0,71,1,"""fordcountrysquire(sw)"""
44,13.0,8,400.0,175.0,5140.,12.0,71,1,"""pontiacsafari(sw)"""
45,18.0,6,258.0,110.0,2962.,13.5,71,1,"""amchornetsportabout(sw)"""
46,22.0,4,140.0,72.00,2408.,19.0,71,1,"""chevroletvega(sw)"""
47,19.0,6,250.0,100.0,3282.,15.0,71,1,"""pontiacfirebird"""
48,18.0,6,250.0,88.00,3139.,14.5,71,1,"""fordmustang"""
49,23.0,4,122.0,86.00,2220.,14.0,71,1,"""mercurycapri2000"""
50,28.0,4,116.0,90.00,2123.,14.0,71,2,"""opel1900"""
51,30.0,4,79.00,70.00,2074.,19.5,71,2,"""peugeot304"""
52,30.0,4,88.00,76.00,2065.,14.5,71,2,"""fiat124b"""
53,31.0,4,71.00,65.00,1773.,19.0,71,3,"""toyotacorolla1200"""
54,35.0,4,72.00,69.00,1613.,18.0,71,3,"""datsun1200"""
55,27.0,4,97.00,60.00,1834.,19.0,71,2,"""volkswagenmodel111"""
56,26.0,4,91.00,70.00,1955.,20.5,71,1,"""plymouthcricket"""
57,24.0,4,113.0,95.00,2278.,15.5,72,3,"""toyotacoronahardtop"""
58,25.0,4,97.50,80.00,2126.,17.0,72,1,"""dodgecolthardtop"""
59,23.0,4,97.00,54.00,2254.,23.5,72,2,"""volkswagentype3"""
60,20.0,4,140.0,90.00,2408.,19.5,72,1,"""chevroletvega"""
61,21.0,4,122.0,86.00,2226.,16.5,72,1,"""fordpintorunabout"""
62,13.0,8,350.0,165.0,4274.,12.0,72,1,"""chevroletimpala"""
63,14.0,8,400.0,175.0,4385.,12.0,72,1,"""pontiaccatalina"""
64,15.0,8,318.0,150.0,4135.,13.5,72,1,"""plymouthfuryiii"""
65,14.0,8,351.0,153.0,4129.,13.0,72,1,"""fordgalaxie500"""
66,17.0,8,304.0,150.0,3672.,11.5,72,1,"""amcambassadorsst"""
67,11.0,8,429.0,208.0,4633.,11.0,72,1,"""mercurymarquis"""
68,13.0,8,350.0,155.0,4502.,13.5,72,1,"""buicklesabrecustom"""
69,12.0,8,350.0,160.0,4456.,13.5,72,1,"""oldsmobiledelta88royale"""
70,13.0,8,400.0,190.0,4422.,12.5,72,1,"""chryslernewportroyal"""
71,19.0,3,70.00,97.00,2330.,13.5,72,3,"""mazdarx2coupe"""
72,15.0,8,304.0,150.0,3892.,12.5,72,1,"""amcmatador(sw)"""
73,13.0,8,307.0,130.0,4098.,14.0,72,1,"""chevroletchevelleconcours(sw)"""
74,13.0,8,302.0,140.0,4294.,16.0,72,1,"""fordgrantorino(sw)"""
75,14.0,8,318.0,150.0,4077.,14.0,72,1,"""plymouthsatellitecustom(sw)"""
76,18.0,4,121.0,112.0,2933.,14.5,72,2,"""volvo145e(sw)"""
77,22.0,4,121.0,76.00,2511.,18.0,72,2,"""volkswagen411(sw)"""
78,21.0,4,120.0,87.00,2979.,19.5,72,2,"""peugeot504(sw)"""
79,26.0,4,96.00,69.00,2189.,18.0,72,2,"""renault12(sw)"""
80,22.0,4,122.0,86.00,2395.,16.0,72,1,"""fordpinto(sw)"""
81,28.0,4,97.00,92.00,2288.,17.0,72,3,"""datsun510(sw)"""
82,23.0,4,120.0,97.00,2506.,14.5,72,3,"""toyoutacoronamarkii(sw)"""
83,28.0,4,98.00,80.00,2164.,15.0,72,1,"""dodgecolt(sw)"""
84,27.0,4,97.00,88.00,2100.,16.5,72,3,"""toyotacorolla1600(sw)"""
85,13.0,8,350.0,175.0,4100.,13.0,73,1,"""buickcentury350"""
86,14.0,8,304.0,150.0,3672.,11.5,73,1,"""amcmatador"""
87,13.0,8,350.0,145.0,3988.,13.0,73,1,"""chevroletmalibu"""
88,14.0,8,302.0,137.0,4042.,14.5,73,1,"""fordgrantorino"""
89,15.0,8,318.0,150.0,3777.,12.5,73,1,"""dodgecoronetcustom"""
90,12.0,8,429.0,198.0,4952.,11.5,73,1,"""mercurymarquisbrougham"""
91,13.0,8,400.0,150.0,4464.,12.0,73,1,"""chevroletcapriceclassic"""
92,13.0,8,351.0,158.0,4363.,13.0,73,1,"""fordltd"""
93,14.0,8,318.0,150.0,4237.,14.5,73,1,"""plymouthfurygransedan"""
94,13.0,8,440.0,215.0,4735.,11.0,73,1,"""chryslernewyorkerbrougham"""
95,12.0,8,455.0,225.0,4951.,11.0,73,1,"""buickelectra225custom"""
96,13.0,8,360.0,175.0,3821.,11.0,73,1,"""amcambassadorbrougham"""
97,18.0,6,225.0,105.0,3121.,16.5,73,1,"""plymouthvaliant"""
98,16.0,6,250.0,100.0,3278.,18.0,73,1,"""chevroletnovacustom"""
99,18.0,6,232.0,100.0,2945.,16.0,73,1,"""amchornet"""
100,18.0,6,250.0,88.00,3021.,16.5,73,1,"""fordmaverick"""
101,23.0,6,198.0,95.00,2904.,16.0,73,1,"""plymouthduster"""
102,26.0,4,97.00,46.00,1950.,21.0,73,2,"""volkswagensuperbeetle"""
103,11.0,8,400.0,150.0,4997.,14.0,73,1,"""chevroletimpala"""
104,12.0,8,400.0,167.0,4906.,12.5,73,1,"""fordcountry"""
105,13.0,8,360.0,170.0,4654.,13.0,73,1,"""plymouthcustomsuburb"""
106,12.0,8,350.0,180.0,4499.,12.5,73,1,"""oldsmobilevistacruiser"""
107,18.0,6,232.0,100.0,2789.,15.0,73,1,"""amcgremlin"""
108,20.0,4,97.00,88.00,2279.,19.0,73,3,"""toyotacarina"""
109,21.0,4,140.0,72.00,2401.,19.5,73,1,"""chevroletvega"""
110,22.0,4,108.0,94.00,2379.,16.5,73,3,"""datsun610"""
111,18.0,3,70.00,90.00,2124.,13.5,73,3,"""maxdarx3"""
112,19.0,4,122.0,85.00,2310.,18.5,73,1,"""fordpinto"""
113,21.0,6,155.0,107.0,2472.,14.0,73,1,"""mercurycapriv6"""
114,26.0,4,98.00,90.00,2265.,15.5,73,2,"""fiat124sportcoupe"""
115,15.0,8,350.0,145.0,4082.,13.0,73,1,"""chevroletmontecarlos"""
116,16.0,8,400.0,230.0,4278.,9.50,73,1,"""pontiacgrandprix"""
117,29.0,4,68.00,49.00,1867.,19.5,73,2,"""fiat128"""
118,24.0,4,116.0,75.00,2158.,15.5,73,2,"""opelmanta"""
119,20.0,4,114.0,91.00,2582.,14.0,73,2,"""audi100ls"""
120,19.0,4,121.0,112.0,2868.,15.5,73,2,"""volvo144ea"""
121,15.0,8,318.0,150.0,3399.,11.0,73,1,"""dodgedartcustom"""
122,24.0,4,121.0,110.0,2660.,14.0,73,2,"""saab99le"""
123,20.0,6,156.0,122.0,2807.,13.5,73,3,"""toyotamarkii"""
124,11.0,8,350.0,180.0,3664.,11.0,73,1,"""oldsmobileomega"""
125,20.0,6,198.0,95.00,3102.,16.5,74,1,"""plymouthduster"""
126,21.0,6,200.0,?,2875.,17.0,74,1,"""fordmaverick"""
127,19.0,6,232.0,100.0,2901.,16.0,74,1,"""amchornet"""
128,15.0,6,250.0,100.0,3336.,17.0,74,1,"""chevroletnova"""
129,31.0,4,79.00,67.00,1950.,19.0,74,3,"""datsunb210"""
130,26.0,4,122.0,80.00,2451.,16.5,74,1,"""fordpinto"""
131,32.0,4,71.00,65.00,1836.,21.0,74,3,"""toyotacorolla1200"""
132,25.0,4,140.0,75.00,2542.,17.0,74,1,"""chevroletvega"""
133,16.0,6,250.0,100.0,3781.,17.0,74,1,"""chevroletchevellemalibuclassic"""
134,16.0,6,258.0,110.0,3632.,18.0,74,1,"""amcmatador"""
135,18.0,6,225.0,105.0,3613.,16.5,74,1,"""plymouthsatellitesebring"""
136,16.0,8,302.0,140.0,4141.,14.0,74,1,"""fordgrantorino"""
137,13.0,8,350.0,150.0,4699.,14.5,74,1,"""buickcenturyluxus(sw)"""
138,14.0,8,318.0,150.0,4457.,13.5,74,1,"""dodgecoronetcustom(sw)"""
139,14.0,8,302.0,140.0,4638.,16.0,74,1,"""fordgrantorino(sw)"""
140,14.0,8,304.0,150.0,4257.,15.5,74,1,"""amcmatador(sw)"""
141,29.0,4,98.00,83.00,2219.,16.5,74,2,"""audifox"""
142,26.0,4,79.00,67.00,1963.,15.5,74,2,"""volkswagendasher"""
143,26.0,4,97.00,78.00,2300.,14.5,74,2,"""opelmanta"""
144,31.0,4,76.00,52.00,1649.,16.5,74,3,"""toyotacorona"""
145,32.0,4,83.00,61.00,2003.,19.0,74,3,"""datsun710"""
146,28.0,4,90.00,75.00,2125.,14.5,74,1,"""dodgecolt"""
147,24.0,4,90.00,75.00,2108.,15.5,74,2,"""fiat128"""
148,26.0,4,116.0,75.00,2246.,14.0,74,2,"""fiat124tc"""
149,24.0,4,120.0,97.00,2489.,15.0,74,3,"""hondacivic"""
150,26.0,4,108.0,93.00,2391.,15.5,74,3,"""subaru"""
151,31.0,4,79.00,67.00,2000.,16.0,74,2,"""fiatx1.9"""
152,19.0,6,225.0,95.00,3264.,16.0,75,1,"""plymouthvaliantcustom"""
153,18.0,6,250.0,105.0,3459.,16.0,75,1,"""chevroletnova"""
154,15.0,6,250.0,72.00,3432.,21.0,75,1,"""mercurymonarch"""
155,15.0,6,250.0,72.00,3158.,19.5,75,1,"""fordmaverick"""
156,16.0,8,400.0,170.0,4668.,11.5,75,1,"""pontiaccatalina"""
157,15.0,8,350.0,145.0,4440.,14.0,75,1,"""chevroletbelair"""
158,16.0,8,318.0,150.0,4498.,14.5,75,1,"""plymouthgrandfury"""
159,14.0,8,351.0,148.0,4657.,13.5,75,1,"""fordltd"""
160,17.0,6,231.0,110.0,3907.,21.0,75,1,"""buickcentury"""
161,16.0,6,250.0,105.0,3897.,18.5,75,1,"""chevroeltchevellemalibu"""
162,15.0,6,258.0,110.0,3730.,19.0,75,1,"""amcmatador"""
163,18.0,6,225.0,95.00,3785.,19.0,75,1,"""plymouthfury"""
164,21.0,6,231.0,110.0,3039.,15.0,75,1,"""buickskyhawk"""
165,20.0,8,262.0,110.0,3221.,13.5,75,1,"""chevroletmonza2+2"""
166,13.0,8,302.0,129.0,3169.,12.0,75,1,"""fordmustangii"""
167,29.0,4,97.00,75.00,2171.,16.0,75,3,"""toyotacorolla"""
168,23.0,4,140.0,83.00,2639.,17.0,75,1,"""fordpinto"""
169,20.0,6,232.0,100.0,2914.,16.0,75,1,"""amcgremlin"""
170,23.0,4,140.0,78.00,2592.,18.5,75,1,"""pontiacastro"""
171,24.0,4,134.0,96.00,2702.,13.5,75,3,"""toyotacorona"""
172,25.0,4,90.00,71.00,2223.,16.5,75,2,"""volkswagendasher"""
173,24.0,4,119.0,97.00,2545.,17.0,75,3,"""datsun710"""
174,18.0,6,171.0,97.00,2984.,14.5,75,1,"""fordpinto"""
175,29.0,4,90.00,70.00,1937.,14.0,75,2,"""volkswagenrabbit"""
176,19.0,6,232.0,90.00,3211.,17.0,75,1,"""amcpacer"""
177,23.0,4,115.0,95.00,2694.,15.0,75,2,"""audi100ls"""
178,23.0,4,120.0,88.00,2957.,17.0,75,2,"""peugeot504"""
179,22.0,4,121.0,98.00,2945.,14.5,75,2,"""volvo244dl"""
180,25.0,4,121.0,115.0,2671.,13.5,75,2,"""saab99le"""
181,33.0,4,91.00,53.00,1795.,17.5,75,3,"""hondaciviccvcc"""
182,28.0,4,107.0,86.00,2464.,15.5,76,2,"""fiat131"""
183,25.0,4,116.0,81.00,2220.,16.9,76,2,"""opel1900"""
184,25.0,4,140.0,92.00,2572.,14.9,76,1,"""capriii"""
185,26.0,4,98.00,79.00,2255.,17.7,76,1,"""dodgecolt"""
186,27.0,4,101.0,83.00,2202.,15.3,76,2,"""renault12tl"""
187,17.5,8,305.0,140.0,4215.,13.0,76,1,"""chevroletchevellemalibuclassic"""
188,16.0,8,318.0,150.0,4190.,13.0,76,1,"""dodgecoronetbrougham"""
189,15.5,8,304.0,120.0,3962.,13.9,76,1,"""amcmatador"""
190,14.5,8,351.0,152.0,4215.,12.8,76,1,"""fordgrantorino"""
191,22.0,6,225.0,100.0,3233.,15.4,76,1,"""plymouthvaliant"""
192,22.0,6,250.0,105.0,3353.,14.5,76,1,"""chevroletnova"""
193,24.0,6,200.0,81.00,3012.,17.6,76,1,"""fordmaverick"""
194,22.5,6,232.0,90.00,3085.,17.6,76,1,"""amchornet"""
195,29.0,4,85.00,52.00,2035.,22.2,76,1,"""chevroletchevette"""
196,24.5,4,98.00,60.00,2164.,22.1,76,1,"""chevroletwoody"""
197,29.0,4,90.00,70.00,1937.,14.2,76,2,"""vwrabbit"""
198,33.0,4,91.00,53.00,1795.,17.4,76,3,"""hondacivic"""
199,20.0,6,225.0,100.0,3651.,17.7,76,1,"""dodgeaspense"""
200,18.0,6,250.0,78.00,3574.,21.0,76,1,"""fordgranadaghia"""
201,18.5,6,250.0,110.0,3645.,16.2,76,1,"""pontiacventurasj"""
202,17.5,6,258.0,95.00,3193.,17.8,76,1,"""amcpacerd/l"""
203,29.5,4,97.00,71.00,1825.,12.2,76,2,"""volkswagenrabbit"""
204,32.0,4,85.00,70.00,1990.,17.0,76,3,"""datsunb-210"""
205,28.0,4,97.00,75.00,2155.,16.4,76,3,"""toyotacorolla"""
206,26.5,4,140.0,72.00,2565.,13.6,76,1,"""fordpinto"""
207,20.0,4,130.0,102.0,3150.,15.7,76,2,"""volvo245"""
208,13.0,8,318.0,150.0,3940.,13.2,76,1,"""plymouthvolarepremierv8"""
209,19.0,4,120.0,88.00,3270.,21.9,76,2,"""peugeot504"""
210,19.0,6,156.0,108.0,2930.,15.5,76,3,"""toyotamarkii"""
211,16.5,6,168.0,120.0,3820.,16.7,76,2,"""mercedes-benz280s"""
212,16.5,8,350.0,180.0,4380.,12.1,76,1,"""cadillacseville"""
213,13.0,8,350.0,145.0,4055.,12.0,76,1,"""chevyc10"""
214,13.0,8,302.0,130.0,3870.,15.0,76,1,"""fordf108"""
215,13.0,8,318.0,150.0,3755.,14.0,76,1,"""dodged100"""
216,31.5,4,98.00,68.00,2045.,18.5,77,3,"""hondaaccordcvcc"""
217,30.0,4,111.0,80.00,2155.,14.8,77,1,"""buickopelisuzudeluxe"""
218,36.0,4,79.00,58.00,1825.,18.6,77,2,"""renault5gtl"""
219,25.5,4,122.0,96.00,2300.,15.5,77,1,"""plymoutharrowgs"""
220,33.5,4,85.00,70.00,1945.,16.8,77,3,"""datsunf-10hatchback"""
221,17.5,8,305.0,145.0,3880.,12.5,77,1,"""chevroletcapriceclassic"""
222,17.0,8,260.0,110.0,4060.,19.0,77,1,"""oldsmobilecutlasssupreme"""
223,15.5,8,318.0,145.0,4140.,13.7,77,1,"""dodgemonacobrougham"""
224,15.0,8,302.0,130.0,4295.,14.9,77,1,"""mercurycougarbrougham"""
225,17.5,6,250.0,110.0,3520.,16.4,77,1,"""chevroletconcours"""
226,20.5,6,231.0,105.0,3425.,16.9,77,1,"""buickskylark"""
227,19.0,6,225.0,100.0,3630.,17.7,77,1,"""plymouthvolarecustom"""
228,18.5,6,250.0,98.00,3525.,19.0,77,1,"""fordgranada"""
229,16.0,8,400.0,180.0,4220.,11.1,77,1,"""pontiacgrandprixlj"""
230,15.5,8,350.0,170.0,4165.,11.4,77,1,"""chevroletmontecarlolandau"""
231,15.5,8,400.0,190.0,4325.,12.2,77,1,"""chryslercordoba"""
232,16.0,8,351.0,149.0,4335.,14.5,77,1,"""fordthunderbird"""
233,29.0,4,97.00,78.00,1940.,14.5,77,2,"""volkswagenrabbitcustom"""
234,24.5,4,151.0,88.00,2740.,16.0,77,1,"""pontiacsunbirdcoupe"""
235,26.0,4,97.00,75.00,2265.,18.2,77,3,"""toyotacorollaliftback"""
236,25.5,4,140.0,89.00,2755.,15.8,77,1,"""fordmustangii2+2"""
237,30.5,4,98.00,63.00,2051.,17.0,77,1,"""chevroletchevette"""
238,33.5,4,98.00,83.00,2075.,15.9,77,1,"""dodgecoltm/m"""
239,30.0,4,97.00,67.00,1985.,16.4,77,3,"""subarudl"""
240,30.5,4,97.00,78.00,2190.,14.1,77,2,"""volkswagendasher"""
241,22.0,6,146.0,97.00,2815.,14.5,77,3,"""datsun810"""
242,21.5,4,121.0,110.0,2600.,12.8,77,2,"""bmw320i"""
243,21.5,3,80.00,110.0,2720.,13.5,77,3,"""mazdarx-4"""
244,43.1,4,90.00,48.00,1985.,21.5,78,2,"""volkswagenrabbitcustomdiesel"""
245,36.1,4,98.00,66.00,1800.,14.4,78,1,"""fordfiesta"""
246,32.8,4,78.00,52.00,1985.,19.4,78,3,"""mazdaglcdeluxe"""
247,39.4,4,85.00,70.00,2070.,18.6,78,3,"""datsunb210gx"""
248,36.1,4,91.00,60.00,1800.,16.4,78,3,"""hondaciviccvcc"""
249,19.9,8,260.0,110.0,3365.,15.5,78,1,"""oldsmobilecutlasssalonbrougham"""
250,19.4,8,318.0,140.0,3735.,13.2,78,1,"""dodgediplomat"""
251,20.2,8,302.0,139.0,3570.,12.8,78,1,"""mercurymonarchghia"""
252,19.2,6,231.0,105.0,3535.,19.2,78,1,"""pontiacphoenixlj"""
253,20.5,6,200.0,95.00,3155.,18.2,78,1,"""chevroletmalibu"""
254,20.2,6,200.0,85.00,2965.,15.8,78,1,"""fordfairmont(auto)"""
255,25.1,4,140.0,88.00,2720.,15.4,78,1,"""fordfairmont(man)"""
256,20.5,6,225.0,100.0,3430.,17.2,78,1,"""plymouthvolare"""
257,19.4,6,232.0,90.00,3210.,17.2,78,1,"""amcconcord"""
258,20.6,6,231.0,105.0,3380.,15.8,78,1,"""buickcenturyspecial"""
259,20.8,6,200.0,85.00,3070.,16.7,78,1,"""mercuryzephyr"""
260,18.6,6,225.0,110.0,3620.,18.7,78,1,"""dodgeaspen"""
261,18.1,6,258.0,120.0,3410.,15.1,78,1,"""amcconcordd/l"""
262,19.2,8,305.0,145.0,3425.,13.2,78,1,"""chevroletmontecarlolandau"""
263,17.7,6,231.0,165.0,3445.,13.4,78,1,"""buickregalsportcoupe(turbo)"""
264,18.1,8,302.0,139.0,3205.,11.2,78,1,"""fordfutura"""
265,17.5,8,318.0,140.0,4080.,13.7,78,1,"""dodgemagnumxe"""
266,30.0,4,98.00,68.00,2155.,16.5,78,1,"""chevroletchevette"""
267,27.5,4,134.0,95.00,2560.,14.2,78,3,"""toyotacorona"""
268,27.2,4,119.0,97.00,2300.,14.7,78,3,"""datsun510"""
269,30.9,4,105.0,75.00,2230.,14.5,78,1,"""dodgeomni"""
270,21.1,4,134.0,95.00,2515.,14.8,78,3,"""toyotacelicagtliftback"""
271,23.2,4,156.0,105.0,2745.,16.7,78,1,"""plymouthsapporo"""
272,23.8,4,151.0,85.00,2855.,17.6,78,1,"""oldsmobilestarfiresx"""
273,23.9,4,119.0,97.00,2405.,14.9,78,3,"""datsun200-sx"""
274,20.3,5,131.0,103.0,2830.,15.9,78,2,"""audi5000"""
275,17.0,6,163.0,125.0,3140.,13.6,78,2,"""volvo264gl"""
276,21.6,4,121.0,115.0,2795.,15.7,78,2,"""saab99gle"""
277,16.2,6,163.0,133.0,3410.,15.8,78,2,"""peugeot604sl"""
278,31.5,4,89.00,71.00,1990.,14.9,78,2,"""volkswagenscirocco"""
279,29.5,4,98.00,68.00,2135.,16.6,78,3,"""hondaaccordlx"""
280,21.5,6,231.0,115.0,3245.,15.4,79,1,"""pontiaclemansv6"""
281,19.8,6,200.0,85.00,2990.,18.2,79,1,"""mercuryzephyr6"""
282,22.3,4,140.0,88.00,2890.,17.3,79,1,"""fordfairmont4"""
283,20.2,6,232.0,90.00,3265.,18.2,79,1,"""amcconcorddl6"""
284,20.6,6,225.0,110.0,3360.,16.6,79,1,"""dodgeaspen6"""
285,17.0,8,305.0,130.0,3840.,15.4,79,1,"""chevroletcapriceclassic"""
286,17.6,8,302.0,129.0,3725.,13.4,79,1,"""fordltdlandau"""
287,16.5,8,351.0,138.0,3955.,13.2,79,1,"""mercurygrandmarquis"""
288,18.2,8,318.0,135.0,3830.,15.2,79,1,"""dodgest.regis"""
289,16.9,8,350.0,155.0,4360.,14.9,79,1,"""buickestatewagon(sw)"""
290,15.5,8,351.0,142.0,4054.,14.3,79,1,"""fordcountrysquire(sw)"""
291,19.2,8,267.0,125.0,3605.,15.0,79,1,"""chevroletmalibuclassic(sw)"""
292,18.5,8,360.0,150.0,3940.,13.0,79,1,"""chryslerlebarontown@country(sw)"""
293,31.9,4,89.00,71.00,1925.,14.0,79,2,"""vwrabbitcustom"""
294,34.1,4,86.00,65.00,1975.,15.2,79,3,"""maxdaglcdeluxe"""
295,35.7,4,98.00,80.00,1915.,14.4,79,1,"""dodgecolthatchbackcustom"""
296,27.4,4,121.0,80.00,2670.,15.0,79,1,"""amcspiritdl"""
297,25.4,5,183.0,77.00,3530.,20.1,79,2,"""mercedesbenz300d"""
298,23.0,8,350.0,125.0,3900.,17.4,79,1,"""cadillaceldorado"""
299,27.2,4,141.0,71.00,3190.,24.8,79,2,"""peugeot504"""
300,23.9,8,260.0,90.00,3420.,22.2,79,1,"""oldsmobilecutlasssalonbrougham"""
301,34.2,4,105.0,70.00,2200.,13.2,79,1,"""plymouthhorizon"""
302,34.5,4,105.0,70.00,2150.,14.9,79,1,"""plymouthhorizontc3"""
303,31.8,4,85.00,65.00,2020.,19.2,79,3,"""datsun210"""
304,37.3,4,91.00,69.00,2130.,14.7,79,2,"""fiatstradacustom"""
305,28.4,4,151.0,90.00,2670.,16.0,79,1,"""buickskylarklimited"""
306,28.8,6,173.0,115.0,2595.,11.3,79,1,"""chevroletcitation"""
307,26.8,6,173.0,115.0,2700.,12.9,79,1,"""oldsmobileomegabrougham"""
308,33.5,4,151.0,90.00,2556.,13.2,79,1,"""pontiacphoenix"""
309,41.5,4,98.00,76.00,2144.,14.7,80,2,"""vwrabbit"""
310,38.1,4,89.00,60.00,1968.,18.8,80,3,"""toyotacorollatercel"""
311,32.1,4,98.00,70.00,2120.,15.5,80,1,"""chevroletchevette"""
312,37.2,4,86.00,65.00,2019.,16.4,80,3,"""datsun310"""
313,28.0,4,151.0,90.00,2678.,16.5,80,1,"""chevroletcitation"""
314,26.4,4,140.0,88.00,2870.,18.1,80,1,"""fordfairmont"""
315,24.3,4,151.0,90.00,3003.,20.1,80,1,"""amcconcord"""
316,19.1,6,225.0,90.00,3381.,18.7,80,1,"""dodgeaspen"""
317,34.3,4,97.00,78.00,2188.,15.8,80,2,"""audi4000"""
318,29.8,4,134.0,90.00,2711.,15.5,80,3,"""toyotacoronaliftback"""
319,31.3,4,120.0,75.00,2542.,17.5,80,3,"""mazda626"""
320,37.0,4,119.0,92.00,2434.,15.0,80,3,"""datsun510hatchback"""
321,32.2,4,108.0,75.00,2265.,15.2,80,3,"""toyotacorolla"""
322,46.6,4,86.00,65.00,2110.,17.9,80,3,"""mazdaglc"""
323,27.9,4,156.0,105.0,2800.,14.4,80,1,"""dodgecolt"""
324,40.8,4,85.00,65.00,2110.,19.2,80,3,"""datsun210"""
325,44.3,4,90.00,48.00,2085.,21.7,80,2,"""vwrabbitc(diesel)"""
326,43.4,4,90.00,48.00,2335.,23.7,80,2,"""vwdasher(diesel)"""
327,36.4,5,121.0,67.00,2950.,19.9,80,2,"""audi5000s(diesel)"""
328,30.0,4,146.0,67.00,3250.,21.8,80,2,"""mercedes-benz240d"""
329,44.6,4,91.00,67.00,1850.,13.8,80,3,"""hondacivic1500gl"""
330,40.9,4,85.00,?,1835.,17.3,80,2,"""renaultlecardeluxe"""
331,33.8,4,97.00,67.00,2145.,18.0,80,3,"""subarudl"""
332,29.8,4,89.00,62.00,1845.,15.3,80,2,"""vokswagenrabbit"""
333,32.7,6,168.0,132.0,2910.,11.4,80,3,"""datsun280-zx"""
334,23.7,3,70.00,100.0,2420.,12.5,80,3,"""mazdarx-7gs"""
335,35.0,4,122.0,88.00,2500.,15.1,80,2,"""triumphtr7coupe"""
336,23.6,4,140.0,?,2905.,14.3,80,1,"""fordmustangcobra"""
337,32.4,4,107.0,72.00,2290.,17.0,80,3,"""hondaaccord"""
338,27.2,4,135.0,84.00,2490.,15.7,81,1,"""plymouthreliant"""
339,26.6,4,151.0,84.00,2635.,16.4,81,1,"""buickskylark"""
340,25.8,4,156.0,92.00,2620.,14.4,81,1,"""dodgearieswagon(sw)"""
